start,length
101843359,151
101891952,151
148529640,139
101921163,42
139044920,150
151860131,150
140476640,147
50358597,150
101813657,150
101813742,151
50468064,150
151874924,151
139044904,89
101921086,104
101891511,150
101891919,151
148506370,101
101559384,151
101821849,151
101870822,151
104747998,151
101924080,151
101891869,150
139044904,151
101892238,151
148506084,150
140482859,151
101821892,126
101891869,150
151855807,149
101891567,145
139044974,151
139106971,151
101459430,148
139044964,151
101923286,147
151945332,93
101891704,107
65740018,150
151875082,134
101821781,151
104748091,151
139102214,151
140453099,151
151841766,150
151896314,149
101848464,151
101891869,150
101891465,149
101891869,150
139056093,149
101891836,147
151896459,151
139044904,103
101921062,144
101891511,106
101892171,147
140534391,150
101891916,151
101629707,151
151878651,150
101892171,147
139044904,151
101916551,151
101459238,129
101813688,150
148512603,150
139044997,149
148544169,151
151902233,151
101747636,151
101840505,144
101882635,151
139044904,151
139094254,150
101813707,151
140534293,151
101459439,140
139044990,151
101845123,151
139044904,78
139090272,150
101891938,151
139090272,138
101892246,91
101840068,78
101891869,151
139044904,150
148507410,150
151896412,70
151901991,150
101842064,151
101891891,151
139091872,150
139044926,129
139044904,103
148544340,150
101892168,150
101891869,150
151945434,143
139102207,151
140476856,150
101891705,151
101459465,127
139086818,150
139045017,151
139044999,149
50346919,151
139044904,150
139045009,148
139044964,151
140482980,62
151860684,151
101891782,147
148525975,120
139106886,150
139102385,151
151860805,151
151879287,137
101891869,150
101460860,150
140481263,150
151896313,150
101891942,151
101891678,151
101838828,149
101459226,150
101891869,150
139044904,151
151874379,151
139044904,91
101891889,150
101891871,106
139044963,151
50435702,151
101813615,151
40109775,151
139045002,144
101891870,108
101891869,150
139045003,150
148512415,151
139094317,142
139044925,151
101891729,151
101892210,151
104748129,116
140482585,150
140534517,151
104748158,151
151860193,105
139106864,135
101921161,43
101843477,147
101891869,150
101892271,67
101891989,151
50435659,150
101891871,97
50347200,151
101891826,151
148524323,150
151841730,150
101891805,150
148544118,150
101891744,151
101821766,151
139045007,151
101838670,150
101459336,151
101891869,150
148511113,150
101891587,151
101892168,150
139102156,150
139086773,149
101569658,151
101870700,151
101840490,148
101882559,151
139044925,129
139044959,151
50455130,147
101882774,150
151874914,150
101891869,150
101891833,150
101713501,149
139045039,151
101713501,150
101891869,150
139045014,144
50435659,151
101847634,151
101559384,151
151944761,151
139044904,24
101891511,112
101891833,150
151902148,149
50346919,149
148506089,150
151878598,151
101921086,151
101892140,71
151841762,87
101459267,148
50444197,151
50435714,151
101459509,92
101892168,150
101892168,150
104741797,151
151856089,149
101891731,150
139045255,151
101832846,150
139044904,150
101843451,150
148512676,149
101892116,148
139044904,151
139044904,80
139044936,150
140476924,84
101918445,151
151879340,151
139044904,151
139083405,151
101924190,111
139044904,25
101882774,151
104731640,151
50346987,151
139044904,102
101747597,151
101923338,150
140477771,151
151879198,151
151945629,145
101891879,123
101891926,150
101882782,151
104731525,149
139056122,151
101891670,150
101916650,149
139045001,150
101921086,151
